latitude,longitude,altitude,geometry,osm_id,name,capacity,amenity,iscedlevel
18.5441142,-72.3162758,,Point,613102344,Flaure Susette,,kindergarten,
18.5443592,-72.3144103,,Point,613102347,Institution Mixte le Pragmatisme,,school,
18.5337574,-72.3191078,,Point,613212557,Collège Canapé-Vert,,school,
18.5426849,-72.3067342,,Point,613315712,Ecole fondamentale Louis Maccene,,school,
18.5244141,-72.3516697,,Point,613530599,Séminaire de Théologie de Port-au-Prince (STEP),,school,
18.5406328,-72.4109684,,Point,613614823,Collège Mixte l'Union,,school,
18.2344524,-72.5335803,,Point,614135061,Ecole J.M. Hendriquez,,school,
18.2334289,-72.5350696,,Point,614138205,Lycee de Jeunes Filles,,school,
18.2336934,-72.5349269,,Point,614138206,Ecole Magiloire Ambroise,,school,
18.2383622,-72.5381732,,Point,614138209,Ecole Miranda,,school,
18.2358971,-72.5348113,,Point,614227855,Ecole A. Pomayrac,,school,
18.2355901,-72.53634180000002,,Point,614361351,Ecole des Soeurs Reine Immaculee,,school,
18.2395032,-72.538784,,Point,614381267,Ecole Francois Duvalier,,school,
19.4481035,-72.6921047,,Point,614436114,,,school,
19.4488709,-72.6920135,,Point,614436115,,,school,
19.4465852,-72.6872831,,Point,614436116,École des Frères de l'Instruction Chrétienne,,school,
19.4477026,-72.6875813,,Point,614436119,École des Soeurs de Saint Joseph de Cluny,,school,
19.4466986,-72.6900669,,Point,614438734,École Jean-Jacques Dessalines,,school,
19.4493421,-72.6953836,,Point,614441838,,,school,
19.4476522,-72.6955322,,Point,614451802,Lycée des Jeunes Filles,,school,
19.4413774,-72.692347,,Point,614452744,École Cité,,school,
18.5654607,-72.34673,,Point,614595817,Ecole Mixte TES'NV,,school,
19.763478300000003,-72.2015965,,Point,615029088,Faculte de Droit des Sciences Economiques et de Gestion du Cap-Haitien,,college,
19.7624906,-72.2044528,,Point,615039673,École des Freres,,school,
19.7610752,-72.1977505,,Point,615046655,College Regina Assumpta,,college,
19.7613646,-72.2019926,,Point,615049997,École et Musée,,school,
19.758604400000003,-72.1990497,,Point,615050970,École Practique du Nord,,school,
18.5088191,-72.6303752,,Point,615094330,Collège Toussaint Louverture,,school,
18.5240658,-72.2816306,,Point,615327344,Ecole catholique Soeurs Saleziennes,,school,
18.5237814,-72.2816561,,Point,615327346,Ecole methodiste des Freres,,school,
18.5666844,-72.2645811,,Point,615327347,Lycee Jean Marie Vincent de Tabarre,,school,
18.5871542,-72.2881358,,Point,615327348,Ecole Nationale de Source Cazeau,,school,
18.5795309,-72.2726827,,Point,615327351,Ecole Nationale de Tabarre,,school,
18.543837200000002,-72.341032,,Point,615333970,,,school,
18.7340251,-72.4196397,,Point,615351076,,,school,
18.5413898,-72.3213821,,Point,615868023,GOC Universite,,university,
18.1917736,-73.7484549,,Point,616064943,École de Commerce Julian Craon,,college,
18.1927996,-73.7473703,,Point,616064946,College Frère Odile Joseph,,school,
18.193798700000002,-73.74764360000002,,Point,616064950,École des Sœurs,,school,
18.1934867,-73.7537626,,Point,616073725,École La Sainte- Famille,,school,
18.1983942,-73.7575713,,Point,616073728,La Providence,,school,
18.1947053,-73.75355450000002,,Point,616074511,Ecole Mixte Calvin Des Cayes,,school,
18.1992071,-73.7507719,,Point,616075921,Ecole Nationale Michel Lazare,,school,
18.1913939,-73.7507256,,Point,616290496,Collège Lysius Saloman,,school,
18.1952288,-73.7507175,,Point,616290526,Ecole Semiramis Telemaque,,school,
18.2427119,-72.53502730000001,,Point,616760623,IPEDH Campus,,school,
18.2478762,-72.5323765,,Point,616760646,Colleqe Omega,,school,
18.5059983,-72.6269433,,Point,616838844,College Classique,,school,
18.5070153,-72.6289924,,Point,616838857,,,school,
18.5084331,-72.6267386,,Point,616838863,College Benoit XVI,,school,
18.5066471,-72.6221188,,Point,616838873,College Chretien De Leogan,,school,
18.5085125,-72.6313463,,Point,616852032,St Marie School,,school,
18.5101858,-72.6286536,,Point,616852045,Christian Leader School,,school,
18.1923158,-73.7543501,,Point,616872507,Centre d'Études Secondaires,,school,
18.2341755,-72.5360319,,Point,616887071,Centre Formation Proffessionelle Bethesda,,college,
19.6662534,-71.8396931,,Point,616950408,Ecole des Soeurs,,school,
19.6650819,-71.8387656,,Point,616956859,,,school,
18.2365013,-72.5340263,,Point,617025611,College Saint Paul,,school,
19.6669174,-71.8369442,,Point,617142823,,,school,
18.2392667,-72.5391563,,Point,617293346,Ecole La Saintete,,school,
18.2387488,-72.5382315,,Point,617293350,Centre d'Etudes La Trinite,,school,
19.6509185,-71.8310368,,Point,617299412,Training School for Teachers,,school,
19.6650374,-71.8379985,,Point,617310354,College Eben-Ezer,,school,
19.5509774,-71.7233856,,Point,617332021,CLARC College,,school,
19.5537413,-71.7202501,,Point,617332023,Institution Univers,,school,
19.5493334,-71.7223423,,Point,617332024,EFACAP,,school,
19.5504657,-71.7206618,,Point,617335609,Oswald College,,school,
19.5480946,-71.72015720000002,,Point,617335619,George Muller,,school,
19.5514009,-71.7244384,,Point,617335624,Catholic School,,school,
18.4327877,-72.8637504,,Point,617556035,Ecole Sacre Coeur,,school,
18.5385377,-72.31918610000001,,Point,617595738,Mickey Mous,,school,
19.7622384,-72.2031731,,Point,617931058,FIC School,,school,
19.7618975,-72.20478720000001,,Point,617931170,Antennor Firmin School,,school,
19.7619102,-72.2032857,,Point,617931171,Chez Les Freres,,school,
19.7616048,-72.2043042,,Point,617931493,Jacques George School,,school,
18.5726549,-72.3256002,,Point,618011177,Collège mixte Salnave Jean,6 salles,school,
